metric,metric_key,metric_family,base_mean,tuned_mean,tuned_minus_base,n_base,n_tuned
Decodability compliance,decodability_compliance,objective,0.6773,0.8491,0.1718,21,21
Distinct-word decodability compliance,distinct_decodability_compliance,objective,0.6,0.8049,0.2049,21,21
Above-level rate,above_level_rate,objective,0.3227,0.1509,-0.1718,21,21
Weighted above-level rate,weighted_above_level_rate,objective,0.9688,0.3949,-0.5739,21,21
Mean above-level distance,mean_above_level_distance,objective,2.2964,2.0979,-0.1985,21,21
Target phonics coverage,target_phonics_coverage,objective,1.0,0.7679,-0.2321,21,21
Phonics leakage rate,phonics_leakage_rate,objective,0.2381,0.0,-0.2381,21,21
Title present rate,title_rate,objective,1.0,1.0,0.0,21,21
No duplicate sentences rate,no_duplicate_sentences,objective,1.0,1.0,0.0,21,21
Complete output rate,complete_output,objective,0.5714,1.0,0.4286,21,21
Mean word count,word_count,objective,188.4286,63.8095,-124.6191,21,21
Mean sentence count,sentence_count,objective,13.5714,7.4762,-6.0952,21,21
Spec adherence,spec_adherence_score,judge,0.1905,1.2381,1.0476,21,21
Robustness,robustness_score,judge,1.5238,1.8571,0.3333,21,21
Task quality,task_quality_score,judge,0.1905,1.0952,0.9047,21,21
Consistency,consistency_score,judge,0.0,0.4286,0.4286,21,21
