model,prompt_id,n,mean_narrative_completeness,mean_coherence,mean_decodability_adherence,mean_target_phonics_pattern_emphasis,mean_overall_spec_adherence
base,blends_digraphs_1,3,0.3333,0.3333,0.0,0.0,0.0
base,diphthongs_digraphs_1,3,1.0,0.6667,0.0,0.3333,0.3333
base,final_e_blends_1,3,1.3333,1.6667,0.0,0.0,0.0
base,multisyllabic_vowel_teams_r_controlled_1,3,0.6667,0.6667,0.0,0.3333,0.3333
base,r_controlled_blends_1,3,1.0,0.6667,0.0,0.3333,0.0
base,short_vowels_1,3,0.6667,0.6667,0.0,0.0,0.0
base,vowel_teams_digraphs_1,3,1.3333,0.6667,0.0,0.6667,0.0
tuned,blends_digraphs_1,3,1.0,1.3333,1.0,1.0,0.6667
tuned,diphthongs_digraphs_1,3,0.6667,1.0,0.6667,0.0,0.0
tuned,final_e_blends_1,3,0.6667,0.3333,0.6667,0.3333,0.0
tuned,multisyllabic_vowel_teams_r_controlled_1,3,1.0,1.3333,1.3333,0.3333,0.6667
tuned,r_controlled_blends_1,3,0.6667,1.0,0.3333,0.3333,0.3333
tuned,short_vowels_1,3,0.6667,1.0,0.3333,0.3333,0.3333
tuned,vowel_teams_digraphs_1,3,0.3333,0.3333,0.3333,0.3333,0.0
